card_id,r1c1,r1c2,r1c3,r1c4,r1c5,r2c1,r2c2,r2c3,r2c4,r2c5,r3c1,r3c2,r3c3,r3c4,r3c5,r4c1,r4c2,r4c3,r4c4,r4c5,r5c1,r5c2,r5c3,r5c4,r5c5
Card 01,HAS A BROTHER,HAS A PET CAT,CAN SPEAK MORE THAN ONE LANGUAGE,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS 3+ CHILDREN,IS LEFT-HANDED,IS VEGETARIAN OR VEGAN,HAS A BABY UNDER 2 YEARS OLD,IS AN ONLY CHILD,IS WEARING A RING,WAS BORN IN CALIFORNIA,HAS TRAVELED WITH THE MOM-TO-BE,FREE SPACE,HAS A PET DOG,IS THE SAME AGE AS YOU,HAS LIPSTICK IN THEIR BAG,HAS THE SAME SHOE SIZE AS YOU,WAS BORN IN ANOTHER COUNTRY,HAS A MASTERS DEGREE,HAS A SISTER,HAS A TATTOO,IS WEARING A DRESS,IS WEARING EARRINGS,IS WEARING GLASSES,WAS BORN IN AUGUST
Card 02,HAS LIPSTICK IN THEIR BAG,HAS TRAVELED WITH THE MOM-TO-BE,HAS A TATTOO,HAS 3+ CHILDREN,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING NAIL POLISH,PLAYS A MUSICAL INSTRUMENT,HAS A SISTER,IS WEARING GLASSES,HAS A PET DOG,HAS A MASTERS DEGREE,IS WEARING THEIR HAIR UP,FREE SPACE,IS VEGETARIAN OR VEGAN,IS RELATED TO THE MOM-TO-BE,IS RELATED TO THE DAD-TO-BE,WAS BORN IN CALIFORNIA,HAS A BABY UNDER 2 YEARS OLD,HAS THE SAME SHOE SIZE AS YOU,HAS TRAVELED THE FURTHEST,IS AN ONLY CHILD,HAS A BROTHER,WAS BORN IN AUGUST,CAN SPEAK MORE THAN ONE LANGUAGE,IS WEARING A RING
Card 03,WAS BORN IN ANOTHER COUNTRY,IS RELATED TO THE DAD-TO-BE,HAS THE SAME SHOE SIZE AS YOU,WAS BORN IN CALIFORNIA,IS WEARING A DRESS,HAS BEEN TO MORE THAN 3 COUNTRIES,IS LEFT-HANDED,IS WEARING GLASSES,HAS A SISTER,IS THE SAME AGE AS YOU,HAS 3+ CHILDREN,HAS TRAVELED WITH THE MOM-TO-BE,FREE SPACE,HAS A BROTHER,HAS A PET CAT,IS WEARING A RING,WAS BORN IN AUGUST,IS VEGETARIAN OR VEGAN,IS WEARING THEIR HAIR UP,IS RELATED TO THE MOM-TO-BE,IS AN ONLY CHILD,IS WEARING EARRINGS,PLAYS A MUSICAL INSTRUMENT,HAS A PET DOG,CAN SPEAK MORE THAN ONE LANGUAGE
Card 04,IS VEGETARIAN OR VEGAN,IS WEARING NAIL POLISH,HAS A PET DOG,IS WEARING GLASSES,HAS A MASTERS DEGREE,HAS 3+ CHILDREN,IS WEARING EARRINGS,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A BROTHER,WAS BORN IN ANOTHER COUNTRY,IS RELATED TO THE MOM-TO-BE,HAS BEEN TO MORE THAN 3 COUNTRIES,FREE SPACE,IS RELATED TO THE DAD-TO-BE,HAS A TATTOO,IS WEARING A RING,HAS A SISTER,HAS TRAVELED THE FURTHEST,HAS LIPSTICK IN THEIR BAG,HAS A BABY UNDER 2 YEARS OLD,IS WEARING THEIR HAIR UP,IS WEARING A DRESS,HAS A PET CAT,PLAYS A MUSICAL INSTRUMENT,HAS TRAVELED WITH THE MOM-TO-BE
Card 05,IS WEARING A DRESS,IS LEFT-HANDED,IS VEGETARIAN OR VEGAN,IS THE SAME AGE AS YOU,IS RELATED TO THE DAD-TO-BE,WAS BORN IN CALIFORNIA,WAS BORN IN AUGUST,WAS BORN IN ANOTHER COUNTRY,HAS LIPSTICK IN THEIR BAG,IS WEARING THEIR HAIR UP,IS WEARING GLASSES,HAS A SISTER,FREE SPACE,IS WEARING NAIL POLISH,HAS A PET CAT,HAS TRAVELED WITH THE MOM-TO-BE,IS AN ONLY CHILD,HAS TRAVELED THE FURTHEST,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING EARRINGS,IS RELATED TO THE MOM-TO-BE,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A MASTERS DEGREE,HAS THE SAME SHOE SIZE AS YOU,PLAYS A MUSICAL INSTRUMENT
Card 06,HAS A BROTHER,HAS 3+ CHILDREN,HAS A MASTERS DEGREE,HAS A PET DOG,IS LEFT-HANDED,WAS BORN IN ANOTHER COUNTRY,HAS A PET CAT,HAS TRAVELED WITH THE MOM-TO-BE,IS THE SAME AGE AS YOU,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS LIPSTICK IN THEIR BAG,IS WEARING A DRESS,FREE SPACE,IS WEARING A RING,PLAYS A MUSICAL INSTRUMENT,IS WEARING NAIL POLISH,WAS BORN IN CALIFORNIA,WAS BORN IN AUGUST,HAS TRAVELED THE FURTHEST,HAS A BABY UNDER 2 YEARS OLD,IS WEARING EARRINGS,IS RELATED TO THE DAD-TO-BE,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A TATTOO,IS WEARING THEIR HAIR UP
Card 07,IS WEARING A RING,IS AN ONLY CHILD,WAS BORN IN ANOTHER COUNTRY,HAS A SISTER,HAS A BABY UNDER 2 YEARS OLD,HAS A MASTERS DEGREE,IS RELATED TO THE DAD-TO-BE,HAS A BROTHER,HAS TRAVELED THE FURTHEST,PLAYS A MUSICAL INSTRUMENT,IS VEGETARIAN OR VEGAN,HAS A PET CAT,FREE SPACE,HAS A TATTOO,IS WEARING THEIR HAIR UP,WAS BORN IN CALIFORNIA,IS WEARING GLASSES,IS THE SAME AGE AS YOU,WAS BORN IN AUGUST,IS LEFT-HANDED,HAS LIPSTICK IN THEIR BAG,IS WEARING A DRESS,IS RELATED TO THE MOM-TO-BE,HAS THE SAME SHOE SIZE AS YOU,IS WEARING NAIL POLISH
Card 08,IS WEARING A RING,IS WEARING GLASSES,HAS TRAVELED THE FURTHEST,IS WEARING EARRINGS,HAS A PET CAT,HAS LIPSTICK IN THEIR BAG,IS WEARING A DRESS,HAS 3+ CHILDREN,HAS A TATTOO,HAS A SISTER,HAS A BABY UNDER 2 YEARS OLD,HAS A PET DOG,FREE SPACE,HAS A MASTERS DEGREE,WAS BORN IN CALIFORNIA,IS THE SAME AGE AS YOU,WAS BORN IN ANOTHER COUNTRY,WAS BORN IN AUGUST,HAS A BROTHER,IS LEFT-HANDED,CAN SPEAK MORE THAN ONE LANGUAGE,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS THE SAME SHOE SIZE AS YOU,IS AN ONLY CHILD,HAS TRAVELED WITH THE MOM-TO-BE
Card 09,HAS TRAVELED WITH THE MOM-TO-BE,IS VEGETARIAN OR VEGAN,IS LEFT-HANDED,IS AN ONLY CHILD,PLAYS A MUSICAL INSTRUMENT,HAS A TATTOO,IS WEARING NAIL POLISH,HAS 3+ CHILDREN,IS WEARING A RING,IS RELATED TO THE DAD-TO-BE,IS WEARING THEIR HAIR UP,WAS BORN IN CALIFORNIA,FREE SPACE,IS WEARING GLASSES,HAS A SISTER,HAS LIPSTICK IN THEIR BAG,IS RELATED TO THE MOM-TO-BE,HAS THE SAME SHOE SIZE AS YOU,WAS BORN IN AUGUST,HAS A MASTERS DEGREE,HAS A BABY UNDER 2 YEARS OLD,HAS A PET DOG,CAN SPEAK MORE THAN ONE LANGUAGE,HAS TRAVELED THE FURTHEST,HAS A BROTHER
Card 10,IS WEARING GLASSES,HAS BEEN TO MORE THAN 3 COUNTRIES,WAS BORN IN ANOTHER COUNTRY,HAS A BABY UNDER 2 YEARS OLD,WAS BORN IN CALIFORNIA,HAS A PET CAT,IS AN ONLY CHILD,IS THE SAME AGE AS YOU,HAS TRAVELED WITH THE MOM-TO-BE,HAS A SISTER,PLAYS A MUSICAL INSTRUMENT,CAN SPEAK MORE THAN ONE LANGUAGE,FREE SPACE,HAS 3+ CHILDREN,HAS THE SAME SHOE SIZE AS YOU,IS WEARING A RING,IS WEARING EARRINGS,WAS BORN IN AUGUST,HAS A BROTHER,IS LEFT-HANDED,IS VEGETARIAN OR VEGAN,IS WEARING THEIR HAIR UP,HAS A PET DOG,IS RELATED TO THE MOM-TO-BE,IS WEARING A DRESS
